Q2,Q4,Q5,Q6,Q7_1,Q7_2,Q7_3,Q8_1,Q8_2,Q8_3,Q8_4,Q9_1,Q9_2,Q9_3,Q9_4,Q10,Q11,Q12,Q13,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q17,Q19,Q21,Q22,Q23,sex,age,occupation/school,student/faculty
A good amount,From the news,To aid in completion of a project,To aid in completion of a project,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Very much so,Somewhat,A little,6 to 10,To aid in completion of a project,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neither likely nor unlikely,Somewhat likely,Innovative,Male,18-21,CS & Math,Student
A good amount,From a friend,To get started with a project,To get started with a project,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Very much so,Very much so,A little,6 to 10,To get started with a project,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Very likely,Neither likely nor unlikely,I like it for getting pointers on where to go when i'm having trouble with my work,Non-binary / third gender,22-25,Communications & Arts,Student
A great deal,From the news,To aid in completion of a project,To aid in completion of a project,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Very much so,Somewhat,Quite a lot,11 or more times,To aid in completion of a project,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Very unlikely,Very unlikely,"ChatGPT is a great tool for assisting in projects, especially for a programmer. However, it is laregly untrustworthy when it comes to writing anything longer than a paragraph.",Male,18-21,CS & Math,Student
A great deal,From the news,Curiosity,To aid in completion of a project,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Very much so,Very much so,A little,6 to 10,Curiosity,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat likely,Somewhat likely,,Male,18-21,CS & Math,Student
A great deal,From the news,To aid in completion of a project,To aid in completion of a project,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Very much so,Very much so,Quite a lot,11 or more times,Curiosity,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat likely,Somewhat unlikely,Very strong tool that can help people out in a variety of ways. But you can't trust everything it says as it will confidently be wrong.,Male,18-21,CS & Math,Student
A good amount,From a friend,Other; please specify,Other; please specify,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Very much so,Very much so,A good amount,11 or more times,Curiosity,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat likely,Somewhat likely,"It is incredibly powerful, and had potential for both good and bad. However fighting AI would be like trying to fight the rollout of the internet in the early 2000s, it’s best to educate students how to use AI to advantage both in an academic and professional environment.",Male,18-21,Management,Student
A great deal,From the news,To get started with a project,To get started with a project,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat,Somewhat,Not at all,0,I have not used ChatGPT,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat likely,Somewhat unlikely,ChatGPT is likely a technology fear based news fad threatening jobs that it really can not fill.,Non-binary / third gender,18-21,Communications & Arts,Student
A great deal,From the news,To aid in completion of a project,To get started with a project,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat,Somewhat,A little,1 to 5,To get started with a project,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat likely,Somewhat likely,"I think ChatGPT can be an amazing resource for students and people with professional jobs. However, it can be exploited by people in their daily lives by having an ai write something for them ",Male,18-21,Communications & Arts,Student
A good amount,Other,To obtain significant help with a project,To obtain significant help with a project,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Very much so,Not at all,Not at all,0,I have not used ChatGPT,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat likely,Somewhat unlikely,"I don't plan on using it but I've seen people use it and it can aid in projects, essays, etc. It's very tempting for students. One disadvantage is the lack of human touch--everything ChatGPT writes is automated and there's no personality. ",Female,18-21,Communications & Arts,Student
A good amount,From the news,To aid in completion of a project,To get started with a project,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat,Somewhat,Not at all,0,I have not used ChatGPT,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Very likely,Somewhat unlikely,ChapGPT is a good resource to get quick feedback or to help with brainstorming. But when it’s used for longer form responses it seems to have at best a high school writing level. ,Male,18-21,Communications & Arts,Student
A good amount,From the news,To aid in completion of a project,Curiosity,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat,Very much so,A little,1 to 5,To get started with a project,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Neither likely nor unlikely,Somewhat likely,I personally am hesitant to use ChatGPT because of plagiarism and I just wouldn't feel right using it. The only time I have used it was in class when the professor wanted us to try it out.,Non-binary / third gender,18-21,Communications & Arts,Student
A great deal,From the news,To aid in completion of a project,To get started with a project,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Very much so,Very much so,Quite a lot,11 or more times,To aid in completion of a project,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Very likely,Somewhat likely,"I think ChatGPT is a useful resource for when a student gets some sort of writer's block or needs help with a project/assignment. From when I have used it, I have found that my answers are like 50-70% reliable. I always double check from Google to make sure what it's saying is correct. I have found that it works at its best when it needs to generate things like title ideas for articles, lists for project ideas, or quick historical synapses on events/people. Right now, it's definitely not a tool students should rely on all of the time, but who knows how strong it'll be in 6-12 months.  ",Male,18-21,Communications & Arts,Student
A good amount,From the news,To get started with a project,To get started with a project,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat,Somewhat,A little,1 to 5,Curiosity,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Very likely,Very likely,I think that the benefits versus down sides of ChatGTP have not been all totally factored in because it is a new program.,Male,18-21,Communications & Arts,Student
A little,From the news,To obtain significant help with a project,To aid in completion of a project,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat,Not at all,Not at all,0,I have not used ChatGPT,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat unlikely,Very unlikely,I honestly think AI including ChatGPT is scary and needs to be handled carefully because it is dangerous to the way our society functions and academia. ,Female,18-21,Communications & Arts,Student
A little,From the news,Other; please specify,Other; please specify,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat,Not at all,Not at all,0,I have not used ChatGPT,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Very unlikely,Very unlikely,It sounds like something from a dystopian novel where it seems like a cool new technology but could have scary implications in the future.  ,Female,18-21,,
A good amount,From the news,To obtain significant help with a project,To get started with a project,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Very much so,Somewhat,Not at all,0,I have not used ChatGPT,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat likely,Somewhat unlikely,I think ChatGPT creates a lot of complications around plagiarism and what counts as original work. It makes me wonder if the skill of writing is going to be devalued soon. I think that there has to be a way to recognize when ChatGPT has been used. ,Female,18-21,Communications & Arts,Student
Nothing at all,From this questionnaire,To aid in completion of a project,To get started with a project,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Very much so,Somewhat,Not at all,0,I have not used ChatGPT,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Very likely,Very likely,"I think ChatGPT could be very beneficial for students with busy courseloads and overall issues with schoolwork. However, there is not always going to be accurate information coming out of it which will negatively affect a student if they don't do prior research on the question they are asking. With that, I also think students will use it to plagiarize as that is a big issues in colleges. For professionals, I think it could be helpful in more communicative action such as the late delivery email because it saves time and makes it more convenient. However, that will take away at jobs that deal with client response and communicative efforts. ",Female,18-21,Communications & Arts,Student
A little,From the news,To get started with a project,To get started with a project,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Very much so,Somewhat,A little,1 to 5,To get started with a project,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,Male,18-21,,
A good amount,Other,To get started with a project,To get started with a project,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Very much so,Not at all,Not at all,0,I have not used ChatGPT,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Very likely,Neither likely nor unlikely,"Personally I don’t like AI,I think that the more we advance the more dependent and unevolved we become to the point where we’ll build robots that are more human then we are.I think it’s helpful only for idea generating,but obviously people are going to use it for more than that at there’s no way the creators didn’t see that.There’s no way to catch it because if you ask it to write like a college student who could know the difference.I’m addition, where does it stop?We have AI that can create art for us and write for us,what’s the point in creating art anymore!Whats the use of imagination?",Female,18-21,Communications & Arts,Student
A great deal,From the news,Curiosity,To aid in completion of a project,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Very much so,Very much so,A good amount,6 to 10,Curiosity,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat likely,Somewhat likely,"For brainstorming, general curiosity, and project completing/starting, I think ChatGPT can have many positive impacts on society, equivalent to having a calculator for everyday life (except the calculator's answers may change based on the numerous inputs it receives)",Male,22-25,CS & Math,Student
A good amount,From the news,To obtain significant help with a project,To obtain significant help with a project,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Very much so,Very much so,Not at all,0,I have not used ChatGPT,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat likely,Somewhat likely,I believe ChatGPT will make people's work more productive but I don't know if I can fully trust it yet,Female,34-37,Management,Student
A great deal,From the news,To get started with a project,To aid in completion of a project,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Very much so,Very much so,Quite a lot,11 or more times,To get started with a project,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very likely,Neither likely nor unlikely,"ChatGPT is an amazing resource for the world. Moving forward, the world is going to be more and more integrated with AI, just as it was with the internet. Marist has two options: try to deny this indisputable fact, or embrace it and get a head start on the next “dot-com” boom.",Male,22-25,CS & Math,Student
A great deal,From the news,To aid in completion of a project,To aid in completion of a project,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat,Somewhat,Quite a lot,11 or more times,Curiosity,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Neither likely nor unlikely,Very unlikely,"I think that long term it will have an impact on how people right, more because of ""suggestions"" that editors will offer users as they are composing.  I think it will also be used to automate messages, robo calls, etc... I will improve and become another ""guide"" in research to be scrutinized just as internet search results should be.",Male,42-45,CS & Math,Student
A great deal,From a friend,Other; please specify,To obtain significant help with a project,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat,Very much so,A little,1 to 5,Curiosity,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Very likely,Somewhat likely,It’s very helpful. As humans we created AI like the calculator. It aids us. When we speed up our daily tasks through the use of AI that’s exactly what it was designed for.,Male,18-21,CS & Math,Student
A good amount,From the news,To obtain significant help with a project,Curiosity,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat,Somewhat,Not at all,0,I have not used ChatGPT,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat likely,Neither likely nor unlikely,"I suppose that it's really could be used as helpful tool, but I think it'd would be better to just research the topic yourself. But it is most definitely being used by students to easily complete homework. Thus in my opinion, maybe getting rid of homework that isn't helpful in proving one's knowledge of a subject as it is just unnecessarily difficult would be a great option.",Male,18-21,CS & Math,Student
A great deal,From the news,To obtain significant help with a project,To get started with a project,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat,Not at all,Not at all,0,I have not used ChatGPT,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat unlikely,Very unlikely,It will be widely used as a tool for plagiarism unless it is banned in universities or the technology to detect it is developed. It encourages students to cheat,Prefer not to say,18-21,CS & Math,Student
A great deal,From the news,To aid in completion of a project,Curiosity,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Very much so,Very much so,Quite a lot,11 or more times,To aid in completion of a project,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat likely,Very unlikely,"As an AI language model, I believe that ChatGPT has a lot of potential to assist and improve various aspects of human life, from education and research to entertainment and customer service. However, I also recognize that there are still limitations and ethical considerations that need to be addressed in the development and use of AI technologies like ChatGPT. -ChatGPT",Male,26-29,CS & Math,Student
A great deal,From the news,To get started with a project,To aid in completion of a project,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Very much so,Very much so,Quite a lot,11 or more times,To aid in completion of a project,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,,Somewhat likely,,Male,18-21,CS & Math,Student
A great deal,From the news,To obtain significant help with a project,To aid in completion of a project,Strongly agree,Somewhat agree,,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat,Somewhat,A little,1 to 5,Curiosity,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Very likely,Somewhat likely,"I think ChatGPT is a really interesting tool, but I don't know how it will impact education. Personally, I think I'll use it to learn knew things or clarify class material that I'm having a hard time understanding. It could really benefit students that don't have equal access to educational resources. But it is a bit scary to think that writing from this application is becoming almost indistinguishable from human writing.",Female,22-25,Communications & Arts,Student
A great deal,From the news,To obtain significant help with a project,Curiosity,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat,Very much so,Not at all,1 to 5,Curiosity,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Very likely,Very likely,I think it could be a very productive thing but also can be used for plagiarizing ,Male,18-21,Management,Student
A little,From a friend,To aid in completion of a project,To get started with a project,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat,Somewhat,Not at all,0,I have not used ChatGPT,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither likely nor unlikely,Neither likely nor unlikely,"I have not used it at all, but I find it interesting. Kind of scary though",Female,18-21,Communications & Arts,Student
A good amount,From the news,Curiosity,To get started with a project,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Very much so,Very much so,Not at all,0,I have not used ChatGPT,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Very likely,Neither likely nor unlikely,A very interesting technology that has a high likelihood of being both useful and potentially harmful.,Male,22-25,Communications & Arts,Student
A great deal,From the news,Curiosity,Curiosity,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat,Very much so,A good amount,11 or more times,Curiosity,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat likely,Somewhat unlikely,Fascinating; would love to see it used as a tool and more consideration given to how it can advance and benefit education (for faculty and students alike).,Female,38-41,Professor/Faculty,Professor/Faculty
A little,From the news,To obtain significant help with a project,To aid in completion of a project,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat,Not at all,Not at all,0,I have not used ChatGPT,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Very unlikely,Very unlikely,"On an individual basis, it is a crutch. It will be used in place of someone doing work. On the whole, corporations will use ai tools instead of hiring people",Male,18-21,CS & Math,Student
A little,Other,To obtain significant help with a project,To aid in completion of a project,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Very much so,Not at all,Not at all,0,I have not used ChatGPT,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither likely nor unlikely,Very unlikely,"I despise ChatGPT. It tarnishes the reputation of those who use it poorly, and those who use it successfully receive ill gains.",Male,18-21,CS & Math,Student
Nothing at all,From this questionnaire,To aid in completion of a project,To get started with a project,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat,Somewhat,Not at all,0,I have not used ChatGPT,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat likely,Somewhat unlikely,I do not know much about ChatGPT but it could be worth trying.,Female,18-21,Communications & Arts,Student
A great deal,From a family member,To get started with a project,To get started with a project,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat,Very much so,A little,1 to 5,Curiosity,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Very unlikely,Very unlikely,"ChatGPT is a great starting point for projects. It great for coming up with an idea such as topics to write a paper about, but not a good tool for writing a paper",Male,18-21,CS & Math,Student
A good amount,From the news,To get started with a project,Curiosity,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat,Not at all,A little,1 to 5,Curiosity,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat likely,Somewhat likely,New,Male,18-21,Communications & Arts,Student
A little,From the news,Other; please specify,To obtain significant help with a project,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Very much so,Not at all,Not at all,0,I have not used ChatGPT,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat unlikely,Somewhat likely,I think it is destroying honest students trying to compete,Male,18-21,Management,Student
A great deal,From the news,To get started with a project,To aid in completion of a project,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Very much so,Very much so,A good amount,6 to 10,To get started with a project,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither likely nor unlikely,Somewhat likely,At the end of the day it is a tool that can benefit many people but also the same time it can not always be trusted. ,Male,18-21,Management,Student
A little,From a friend,To obtain significant help with a project,To aid in completion of a project,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Very much so,Not at all,Not at all,0,I have not used ChatGPT,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Very likely,Neither likely nor unlikely,While chatgpt may be helpful and convenient now for students. They are not learning or putting in the work and letting a computer do it for them. While I enjoy technology I am also afraid of the jobs it will take in the future and students relying on that is only making them a worse candidate and the computer a better candidate for jobs in the future. ,Female,18-21,Communications & Arts,Student
